tailid;url;language
21544;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_387.xhtml;nb
21545;https://www.politi.no/international/;en
21545;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_388.xhtml;nb
21547;https://www.politi.no/international/;en
21547;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_392.xhtml;nb
21548;https://www.politi.no/international/;en
21548;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_394.xhtml;nb
21549;https://www.politi.no/international/;en
21549;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_559.xhtml;nb
21550;https://www.politi.no/international/;en
21550;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_396.xhtml;nb
21551;https://www.politi.no/;nb
21551;https://www.politi.no/international/;en
21552;https://www.politi.no/international/;en
21552;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_401.xhtml;nb
21553;https://www.politi.no/international/;en
21553;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_400.xhtml;nb
21554;https://www.politi.no/international/;en
21554;https://www.politi.no/kontakt_oss/kontakt_ditt_politidistrikt/kontakt_sor_trondelag/KontaktInfo_378.xhtml;nb
21555;https://www.politi.no/international/;en
21555;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_382.xhtml;nb
21556;https://www.politi.no/international/;en
21556;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_148.xhtml;nb
21557;https://www.politi.no/international/;en
21557;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_327.xhtml;nb
21558;https://www.politi.no/international/;en
21558;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_235.xhtml;nb
21559;https://www.politi.no/international/;en
21559;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_322.xhtml;nb
21560;https://www.politi.no/international/;en
21560;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_93.xhtml;nb
21561;https://www.politi.no/international/;en
21561;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_324.xhtml;nb
21562;https://www.politi.no/international/;en
21562;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_331.xhtml;nb
21563;https://www.politi.no/international/;en
21563;https://www.politi.no/nord_trondelag/;nb
21564;https://www.politi.no/international/;en
21564;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_149.xhtml;nb
21565;https://www.politi.no/international/;en
21565;https://www.politi.no/nord_trondelag/kontakt_nord_trondelag/KontaktInfo_228.xhtml;nb
21566;https://www.politi.no/international/;en
21566;https://www.politi.no/nordmore_og_romsdal/;nb
21567;https://www.politi.no/international/;en
21567;https://www.politi.no/nordmore_og_romsdal/kontakt_nordmore_og_romsdal/KontaktInfo_153.xhtml;nb
21568;https://www.politi.no/international/;en
21568;https://www.politi.no/nordmore_og_romsdal/kontakt_nordmore_og_romsdal/KontaktInfo_154.xhtml;nb
21569;https://www.politi.no/international/;en
21569;https://www.politi.no/nordmore_og_romsdal/kontakt_nordmore_og_romsdal/KontaktInfo_544.xhtml;nb
21570;https://www.politi.no/international/;en
21570;https://www.politi.no/sor_trondelag/kontakt_sor_trondelag/KontaktInfo_390.xml;nb
21571;https://www.politi.no/international/;en
21571;https://www.politi.no/sogn_og_fjordane/kontakt_sogn_og_fjordane/KontaktInfo_56.xhtml;nb
21572;https://www.politi.no/international/;en
21572;https://www.politi.no/sogn_og_fjordane/kontakt_sogn_og_fjordane/KontaktInfo_58.xhtml;nb
21573;https://www.politi.no/international/;en
